,Leave Date,Depart Time (Leg 1),Airline(s),Travel Time,Origin,Destination,Price ($)
0,2023-04-17,10:45 PM,VietJet Air,2 hr 10 min,SGN,HAN,HB 2805

0,2023-04-17,10:45 PM,VietJet Air,2 hr 10 min,SGN,HAN,HB 2805
1,2023-04-17,10:50 PM,VietJet Air,2 hr 10 min,SGN,HAN,HB 2805
2,2023-04-17,9:45 AM,VietJet Air,2 hr 10 min,SGN,HAN,HB 3211
3,2023-04-17,6:45 PM,VietJet Air,2 hr 10 min,SGN,HAN,HB 2891
4,2023-04-17,8:00 PM,VietJet Air,2 hr 10 min,SGN,HAN,HB 2891
5,2023-04-17,10:20 PM,VietJet Air,2 hr 10 min,SGN,HAN,HB 2891
6,2023-04-17,10:10 AM,VietJet Air,2 hr 10 min,SGN,HAN,HB 3211
7,2023-04-17,2:40 PM,VietJet Air,2 hr 15 min,SGN,HAN,HB 3211
8,2023-04-17,3:30 PM,VietJet Air,2 hr 10 min,SGN,HAN,HB 3211
9,2023-04-17,6:00 PM,VietJet Air,2 hr 10 min,SGN,HAN,HB 3211
10,2023-04-17,6:30 PM,VietJet Air,2 hr 10 min,SGN,HAN,HB 3211
11,2023-04-17,8:10 PM,VietJet Air,2 hr 10 min,SGN,HAN,HB 3211
12,2023-04-17,2:00 PM,VietJet Air,2 hr 10 min,SGN,HAN,HB 3385
13,2023-04-17,8:45 AM,VietJet Air,2 hr 10 min,SGN,HAN,HB 3536
14,2023-04-17,12:30 PM,VietJet Air,2 hr 10 min,SGN,HAN,HB 4107
15,2023-04-17,8:40 PM,Bamboo Airways,2 hr 10 min,SGN,HAN,HB 4271
16,2023-04-17,9:15 PM,Bamboo Airways,2 hr 10 min,SGN,HAN,HB 4271
17,2023-04-17,6:35 PM,Bamboo Airways,2 hr 10 min,SGN,HAN,HB 4575
18,2023-04-17,10:10 PM,Bamboo Airways,2 hr 10 min,SGN,HAN,HB 4575
19,2023-04-17,6:40 AM,Vietnam AirlinesOperated by Pacific Airlines,2 hr,SGN,HAN,HB 4756
20,2023-04-17,7:25 AM,Vietnam AirlinesOperated by Pacific Airlines,2 hr 15 min,SGN,HAN,HB 4756
21,2023-04-17,12:15 PM,Vietnam AirlinesOperated by Pacific Airlines,2 hr 20 min,SGN,HAN,HB 4756
22,2023-04-17,9:50 AM,Bamboo Airways,2 hr 10 min,SGN,HAN,HB 4926
23,2023-04-17,10:40 AM,Bamboo Airways,2 hr 10 min,SGN,HAN,HB 4926
24,2023-04-17,12:50 PM,Bamboo Airways,2 hr 10 min,SGN,HAN,HB 4926
25,2023-04-17,5:10 PM,Bamboo Airways,2 hr 10 min,SGN,HAN,HB 4926
26,2023-04-17,7:55 AM,VietJet Air,2 hr 10 min,SGN,HAN,HB 4954
27,2023-04-17,8:00 PM,Vietnam Airlines,2 hr 15 min,SGN,HAN,HB 5012
28,2023-04-17,8:50 PM,Vietnam Airlines,2 hr 15 min,SGN,HAN,HB 5012
29,2023-04-17,9:00 PM,Vietnam Airlines,2 hr 15 min,SGN,HAN,HB 5012
30,2023-04-17,10:00 PM,Vietnam Airlines,2 hr 10 min,SGN,HAN,HB 5012
31,2023-04-17,11:00 PM,Vietnam Airlines,2 hr 15 min,SGN,HAN,HB 5012
32,2023-04-17,7:20 AM,Bamboo Airways,2 hr 10 min,SGN,HAN,HB 5310
33,2023-04-17,2:20 PM,Bamboo Airways,2 hr 10 min,SGN,HAN,HB 5310
34,2023-04-17,3:35 PM,Vietnam Airlines,2 hr 10 min,SGN,HAN,HB 5316
35,2023-04-17,5:35 PM,Vietnam Airlines,2 hr 10 min,SGN,HAN,HB 5316
36,2023-04-17,6:00 PM,Vietnam Airlines,2 hr 15 min,SGN,HAN,HB 5316
37,2023-04-17,7:55 PM,Vietnam Airlines,2 hr 15 min,SGN,HAN,HB 5316
38,2023-04-17,2:25 PM,Vietnam AirlinesOperated by Pacific Airlines,2 hr 5 min,SGN,HAN,HB 5444
39,2023-04-17,11:00 AM,Vietnam Airlines,2 hr 15 min,SGN,HAN,HB 5620
40,2023-04-17,12:00 PM,Vietnam Airlines,2 hr 15 min,SGN,HAN,HB 5620
41,2023-04-17,1:00 PM,Vietnam Airlines,2 hr 15 min,SGN,HAN,HB 5620
42,2023-04-17,4:00 PM,Vietnam Airlines,2 hr 15 min,SGN,HAN,HB 5620
43,2023-04-17,5:00 PM,Vietnam Airlines,2 hr 15 min,SGN,HAN,HB 5620
44,2023-04-17,7:00 PM,Vietnam Airlines,2 hr 15 min,SGN,HAN,HB 5620
45,2023-04-17,5:55 AM,Bamboo Airways,2 hr 10 min,SGN,HAN,HB 5726
46,2023-04-17,10:30 AM,Vietnam AirlinesOperated by Pacific Airlines,2 hr 10 min,SGN,HAN,HB 5843
47,2023-04-17,6:15 PM,Vietnam AirlinesOperated by Pacific Airlines,2 hr,SGN,HAN,HB 5843
48,2023-04-17,8:30 PM,Vietnam AirlinesOperated by Pacific Airlines,2 hr,SGN,HAN,HB 5843
49,2023-04-17,9:00 AM,Vietnam Airlines,2 hr 20 min,SGN,HAN,HB 5923
50,2023-04-17,10:00 AM,Vietnam Airlines,2 hr 15 min,SGN,HAN,HB 5923
51,2023-04-17,5:00 AM,Vietnam Airlines,2 hr 15 min,SGN,HAN,HB 6195
52,2023-04-17,2:00 PM,Vietnam Airlines,2 hr 15 min,SGN,HAN,HB 6195
0,2023-04-17,11:30 PM,Bamboo Airways,2 hr 10 min,HAN,SGN,HB 3442
1,2023-04-17,6:45 PM,Vietnam AirlinesOperated by Pacific Airlines,2 hr 15 min,HAN,SGN,HB 3504
2,2023-04-17,9:00 PM,VietJet Air,2 hr 10 min,HAN,SGN,HB 3707
3,2023-04-17,8:00 PM,Vietnam Airlines,2 hr 15 min,HAN,SGN,HB 3760
4,2023-04-17,8:30 PM,Vietnam Airlines,2 hr 25 min,HAN,SGN,HB 3760
5,2023-04-17,9:00 PM,Vietnam Airlines,2 hr 15 min,HAN,SGN,HB 3760
6,2023-04-17,11:00 PM,Vietnam Airlines,2 hr 25 min,HAN,SGN,HB 3760
7,2023-04-17,8:20 PM,Bamboo Airways,2 hr 15 min,HAN,SGN,HB 3805
8,2023-04-17,8:30 PM,Bamboo Airways,2 hr 10 min,HAN,SGN,HB 3805
9,2023-04-17,9:20 PM,Bamboo Airways,2 hr 10 min,HAN,SGN,HB 3805
10,2023-04-17,7:35 PM,Vietnam AirlinesOperated by Pacific Airlines,2 hr 15 min,HAN,SGN,HB 3824
11,2023-04-17,11:00 PM,VietJet Air,2 hr 10 min,HAN,SGN,HB 3858
12,2023-04-17,6:20 PM,VietJet Air,2 hr 10 min,HAN,SGN,HB 3977
13,2023-04-17,4:55 PM,Vietnam Airlines,2 hr 15 min,HAN,SGN,HB 4064
14,2023-04-17,5:10 PM,Vietnam Airlines,2 hr 15 min,HAN,SGN,HB 4064
15,2023-04-17,10:00 PM,Vietnam Airlines,2 hr 15 min,HAN,SGN,HB 4064
16,2023-04-17,9:35 PM,VietJet Air,2 hr 10 min,HAN,SGN,HB 4107
17,2023-04-17,10:50 PM,VietJet Air,2 hr 10 min,HAN,SGN,HB 4107
18,2023-04-17,5:45 PM,Bamboo Airways,2 hr 15 min,HAN,SGN,HB 4157
19,2023-04-17,7:10 PM,Bamboo Airways,2 hr 10 min,HAN,SGN,HB 4157
20,2023-04-17,5:55 PM,VietJet Air,2 hr 10 min,HAN,SGN,HB 4345
21,2023-04-17,6:00 PM,Vietnam Airlines,2 hr 15 min,HAN,SGN,HB 4368
22,2023-04-17,12:30 PM,VietJet Air,2 hr 10 min,HAN,SGN,HB 4537
23,2023-04-17,3:05 PM,VietJet Air,2 hr 10 min,HAN,SGN,HB 4537
24,2023-04-17,3:35 PM,VietJet Air,2 hr 10 min,HAN,SGN,HB 4537
25,2023-04-17,8:00 PM,VietJet Air,2 hr 10 min,HAN,SGN,HB 4537
26,2023-04-17,2:35 PM,Bamboo Airways,2 hr 20 min,HAN,SGN,HB 4541
27,2023-04-17,9:25 AM,Vietnam AirlinesOperated by Pacific Airlines,2 hr 20 min,HAN,SGN,HB 4591
28,2023-04-17,8:00 AM,Vietnam Airlines,2 hr 15 min,HAN,SGN,HB 4671
29,2023-04-17,9:00 AM,Vietnam Airlines,2 hr 15 min,HAN,SGN,HB 4671
30,2023-04-17,11:00 AM,Vietnam Airlines,2 hr 15 min,HAN,SGN,HB 4671
31,2023-04-17,1:00 PM,Vietnam Airlines,2 hr 15 min,HAN,SGN,HB 4671
32,2023-04-17,3:00 PM,Vietnam Airlines,2 hr 15 min,HAN,SGN,HB 4671
33,2023-04-17,4:00 PM,Vietnam Airlines,2 hr 15 min,HAN,SGN,HB 4671
34,2023-04-17,5:10 AM,VietJet Air,2 hr 10 min,HAN,SGN,HB 4728
35,2023-04-17,6:00 AM,VietJet Air,2 hr 10 min,HAN,SGN,HB 4728
36,2023-04-17,1:20 PM,VietJet Air,2 hr 10 min,HAN,SGN,HB 4728
